SL No,DISTRICT,SEVERE_MENTAL_DISORDER_(SMD),COMMON_MENTAL _DISORDER(CMD),ALCOHOL_&_SUBSTANCE_ABUSE,CASES_REFERRED_TO_HIGHER_CENTRES,SUICIDE_ATTEMPT_CASES,Others,Total,Year
1,BAGALKOTE,2833,2937,238,41,31,8393,14473,2018
2,BANGALORE RURAL,3053,8975,1437,602,188,9499,23754,2018
3,BANGALORE URBAN,7601,25663,4747,687,609,14648,53955,2018
4,BELGAUM,10901,15740,3663,782,784,28139,60009,2018
5,BELLARY,11153,10998,5585,26,3517,16576,47855,2018
6,BIDAR,13400,31487,17556,2533,3,25839,90818,2018
7,BIJAPUR,3629,2137,249,0,0,3843,9858,2018
8,CHAMRAJNAGAR,9067,12002,1333,127,44,12982,35555,2018
9,CHIKKABALLAPUR,8957,26263,19400,1681,2715,22198,81214,2018
10,CHIKMAGALUR,1895,2834,537,704,8,3044,9022,2018
11,CHITRADURGA,4091,5599,658,1231,1907,6168,19654,2018
12,DAKSHINA KANNADA,8270,14431,4536,2748,52,26214,56251,2018
13,DAVANAGERE,2430,3332,1928,606,1,392,8689,2018
14,DHARWAD,2449,8602,257,136,40,7718,19202,2018
15,GADAG,6670,6016,1071,110,1406,10067,25340,2018
16,GULBARGA,7122,4312,3336,1719,528,11243,28260,2018
17,HASSAN,5443,7820,2904,1655,7411,7088,32321,2018
18,HAVERI,6727,8508,1180,939,553,7671,25578,2018
19,KODAGU,1228,2681,970,463,285,4365,9992,2018
20,KOLAR,4399,7451,1542,874,48,9418,23732,2018
21,KOPPAL,2395,8679,492,88,28,10865,22547,2018
22,MANDYA,9194,23260,3248,1915,1484,24882,63983,2018
23,MYSORE,2883,7318,2669,1305,417,4060,18652,2018
24,RAICHUR,24232,60210,28032,2891,202,5249,120816,2018
25,RAMANAGAR,2827,5159,406,148,1050,8931,18521,2018
26,SHIVAMOGGA,3508,6694,802,114,366,6580,18064,2018
27,TUMKUR,7012,5718,241,69,52,7873,20965,2018
28,UDUPI,3670,6539,611,203,163,7743,18929,2018
29,UTTARA KANNADA,4787,5467,697,309,13,9611,20884,2018
30,YADGIR,2340,2481,1557,70,211,4915,11574,2018
1,BAGALKOTE,3328,3999,447,6,115,6944,14839,2019
2,BANGALORE RURAL,3396,7024,1006,1057,199,9804,22486,2019
3,BANGALORE URBAN,11886,34972,5994,740,885,17523,72000,2019
4,BELGAUM,10950,12292,2242,585,854,26093,53016,2019
5,BELLARY,12206,29526,9926,16,1635,28763,82072,2019
6,BIDAR,10464,22398,11802,6424,85,22490,73663,2019
